Type,SiO2,Al2O3,Fe2O3,K2O,MgO,Na2O,CaO,Substrate
Carbonaceous shale,31.11,18.19,1.66,1.05,0.45,0.64,0.15,46.25
Black shale 1,47.02,30.21,3.64,0.64,0.6,1.62,2.58,13.24
Black shale 2,42.36,27.83,2.74,1.27,0.22,0.08,0.3,24.8
Arenaceous shale 1,64.51,15.4,2.77,2.29,1.73,0.12,2.73,9.89
Arenaceous shale 2,64.17,14.96,2.93,1.9,1.45,0,2.61,11.35
Medium-grained sandstone,79.17,8.72,1.95,1.14,0.52,0.53,0.37,7.26
Clay,40.32,30.02,4.44,13.26,1,1.63,3.55,5.36
Fine-grained sandstone,77.47,9.04,1.76,1.1,1.3,0.16,2.48,6.17
Siltstone 1,56.13,13.21,4.5,2.47,1.42,1.42,7.82,12.73
Siltstone 2,82.06,1.66,3.51,1.37,2.48,0.77,2.69,4.87
Argillaceous limestone 2,17.28,12.08,2.59,1.89,4.93,1.22,28.9,30.56
Argillaceous limestone 1,13.5,11.22,3.06,2.07,16.7,-,26.56,26.4
Anthracite coal grade 1,2.63,1.01,0.87,-,-,-,-,-
Anthracite coal grade 2,4.61,1.17,0.81,-,-,-,-,-
Lean coal,6.18,1.4,1.19,-,-,-,-,-
Lean-thin coal,6.46,0.98,0.44,-,-,-,-,-
Thin coal,7.13,1.2,0.54,-,-,-,-,-
Coking coal,3.05,0.84,1.08,-,-,-,-,-
Fat coal,3.96,1,1.25,-,-,-,-,-
0.3 coking coal,2.48,1.23,0.89,-,-,-,-,-
Gas-fat coal,2.92,1.68,0.93,-,-,-,-,-
Gas coal,2.05,2.09,0.98,-,-,-,-,-
Lignite coal grade 1,17.2,1.07,0.86,-,-,-,-,-
Lignite coal grade 2,21.05,1.75,1.03,-,-,-,-,-

